title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
SNH48暴走早起大作战合集,明星,1,1209,13,3,27,5,6,1,给你然而你却在那里,14229416,1473999787
【极帅盘点】第二期—15个你不知道的奇葩月饼,美食记录,1,721,13,4,3,1,6,0,极帅GG,14744757,1473999775
【WOTA艺】前前前世 祝暄生日快乐！！！,宅舞,1,356,6,7,0,20,5,2,西木野巫祝,20517834,1473999890
【出道合集】韩国女团的革命史-女团盛世 ( 从1997至2016 ),明星,2,16668,2473,137,486,20,22,0,無结局的等待,13380086,1474000081
Sithu Aye - And Here's to Many More,演奏,2,1272,8,11,55,5,19,6,Do_U_Even_Djent,1754895,1473999896
【防弹少年团】天堂HEAVEN黑暗向 官方cp,明星,1,639,9,6,38,21,7,4,Silva6002,11997820,1473999804
dota-holicdeep小操作,网络游戏,1,57,0,0,0,6,2,0,夜风凉心,10992504,1474000064
ASMR 咀嚼音 吃苦瓜炒鸡蛋,其他,1,657,6,25,11,14,3,0,喜欢吃糖的蓝梦梦,10324631,1473999862
【三上枝织】米卡西的米卡syo！第50回（SP动画回！）（09.15）,官方延伸,2,123,2,1,-1,2,4,0,KonohaVio,11021539,1474000123
【混剪】漫威群像 《送情郎》,影视剪辑,1,602,13,3,9,5,17,1,沃夫刚Wolfgang,6422235,1474000008
【家门的荣光】朴施厚个人EP05,影视剪辑,1,3675,30,1,15,3,6,5,居澄妙书,5626337,1473999820
天下秦风——秦时明月特别篇群像,综合,1,1228,9,2,19,5,12,3,轩柳映池,2800464,1474000114
【5分钟看完老九门 36-44集】张大佛爷与二月红不得不说的二三事09,影视杂谈,1,150014,1648,401,1548,3191,450,1584,low君热剧,34189415,1474000128
【MAD】Rikka (CV.立花慎之介) - 死神彼氏,单机游戏,1,1215,7,9,102,16,20,11,小紫貓,5382565,1473999736
【咋了爸爸】一群精神病的自嗨,舞蹈综合,1,616,11,14,1,10,12,1,小歪脖不卖萌,17103690,1474000156
SNH48变身-嫦娥-中秋送祝福 七期生正式出道 160916,明星,2,372,3,1,8,0,3,0,絮佩里的小王子,12321900,1473999982
【把公式翻唱者的MIX后的产物都合起来试试看吧】明日的夜空哨戒班,音乐综合,2,512,7,2,14,2,5,2,Falika,5862211,1473999880
【memo的手帐视频】欲与天公试比高——天公：喵喵喵？,手工,1,8534,54,53,146,130,25,5,金丝肉松饼,1810147,1474000202
【朴宝剑】音乐银行上班路,明星,1,4134,23,4,99,9,14,14,GlimmerAD,16766589,1473999911
有点舍不得你长大——王俊凯,明星,1,389,7,5,8,0,13,1,涩味痞猫,42282048,1473999978
【VS字幕组】Boss Women 2017春夏大秀·全场高清,风尚标,2,54,5,3,5,0,1,0,VS字幕组,3593539,1474000057
电梯惊魂,影视剪辑,1,346,3,1,3,5,8,1,花下顾流年,20603110,1473999959
【守望先锋搞笑集锦】 第二期  啊啊啊 我在也不带你了,电子竞技,1,871,2,3,0,2,3,0,隆祥要记得多睡觉,19617250,1474000201
【使命召唤OL】难得的1W分,网络游戏,1,130,0,1,0,6,5,0,kingturtle,4185340,1473999933
崔七七生日粗卡,明星,1,52,1,1,0,0,8,0,Renlylan,30874663,1473999943
听雯细语与科同在,运动,1,13659,197,16,324,50,23,8,香菜还行-,37876204,1473999913
GOT音乐剧_Still Going Strong,音乐综合,2,578,1,1,26,6,33,5,几千万个基佬,29413062,1474000194
【一念·永恒】（靳东×俞飞鸿）,影视剪辑,1,4972,72,17,161,79,27,12,yayajoyce,5166691,1473999932
让他降落,影视剪辑,1,217,1,3,9,2,4,3,流氓林子,41840957,1473999884
【FF14】零式机工城律动篇 A8S 手滑机工视角 网一萌芽池【李奶奶保护协会】小剧场回归,网络游戏,1,952,0,11,5,16,16,0,VV丶SAMA,4076085,1473999809
切瑞迪君黄金赛济南站,电子竞技,1,1347,11,4,4,2,5,1,未知人名,1927777,1473999926
灰姑娘与四骑士丁一宇朴素丹拍摄花絮第5弹【百度Jungilwoo吧译制】,预告 资讯,1,7620,1,1,37,3,15,7,丁一宇_Jungilwoo吧,39052603,1473999867
【韩服职业天梯录像】第五期——双拳难敌四手的Sign,电子竞技,1,426,1,3,1,8,5,0,解说牙牙,9670091,1473999943
韩国女团Stella的饭拍视频五部（一）,明星,2,17085,5,4,753,8,24,22,我给你整个仙女啊,7055428,1473999975
小菜苏新手日记（地球好危险我要去妈妈的怀抱）,网络游戏,1,17,0,0,0,0,1,0,AllenSuSu,38963717,1473999911
大村孝佳TakayoshiOhmura & Leda UROBOROS LIVE,音乐综合,2,1105,1,3,18,7,18,8,残像像像,7820321,1473999962
