title,typename,copyright,view,danmaku,reply,favorite,coin,share,like,name,mid,date
大鱼海棠  触动千万人，一个感人至深的爱情故事,短片·手书·配音,2,0,0,0,0,0,0,0,人在风中6,28709552,1.47E+09
【火柴人】【正片】【中字】RHG6 ShadowRose vs Jade,短片·手书·配音,2,72306,562,153,2511,324,365,796,纱布浅丶,3556545,1.47E+09
【笑波子】The Evil Within 邪靈入侵 系列 第一輯（第1~7P）,单机游戏,1,1580,7,5,12,5,16,12,笑波子SmilingBoris,20773607,1.47E+09
学人炸牛排，一个买家秀,美食制作,1,6422,57,18,81,73,20,24,cbvivi,224335,1.47E+09
主播真会玩炉石篇03赢了手速输了智商,电子竞技,1,219313,1086,1139,107,328,63,9,是大腿,1565155,1.47E+09
【NGA守望先锋区】一人Carry全场集锦 #4,电子竞技,2,2809,67,11,19,2,14,0,NGA守望先锋区,8004440,1.47E+09
【守望先锋】ANGEL WITH A SHOTGUN/up主处女作,国产动画,1,4755,17,6,21,8,9,4,鎏天韶华,12780590,1.47E+09
星痕OB 2016年06月16号,网络游戏,1,75,0,0,0,0,4,0,哔哩哔哩宋小礼,7222223,1.47E+09
【美少女戦士Sailor Moon Crystal】 第3期 ED【eternal eternity】小提琴钢琴合奏,演奏,2,817,2,4,21,8,6,2,IoeOristalla,31732538,1.47E+09
630. AFS Mickey - 影流之主 劫 vs 岩雀 塔莉垭 - 韩服LOL大师 545LP,网络游戏,2,206,0,3,2,0,5,0,KFC小峰,9821962,1.47E+09
【周投系列】陈哥的每日挑战【2016.6.27~7.3】,单机游戏,1,3965,33,17,12,15,3,1,燐猫,80412,1.47E+09
看我半藏6杀刷屏,电子竞技,1,421,0,0,2,2,3,1,向路痴问路,7182960,1.47E+09
【亲脚不细工】20160627留在记忆中的亲吻写真约会【生肉】,综艺,2,641,2,1,11,0,5,0,廣海渉,18948462,1.47E+09
【钢琴】Melodies of Life - 最终幻想IX,演奏,1,2678,16,23,79,55,31,30,OathKeeper13,170966,1.47E+09
神作向：Muv-Luv Alternative无限流程91·樱花作战（上）,单机游戏,1,1350,14,2,28,41,10,4,看家猫耳娘,4076533,1.47E+09
【高中生quiz】20160626报名宣传SP【生肉】,综艺,2,779,21,1,13,0,6,0,廣海渉,18948462,1.47E+09
【闲聊007】20160627【生肉】,综艺,1,2,0,0,0,0,0,0,廣海渉,18948462,1.47E+09
【鹿晗】 鹿校草的日常 part 1「我怀疑这奇遇只是个恶作剧」,明星,1,6465,129,25,167,74,34,27,MedianerasLu,31706694,1.47E+09
冰岛对阵英格兰赛后，球员与球迷的战吼,社科人文,2,32890,58,37,420,73,225,100,MrXTianY,1519891,1.47E+09
源氏和堡垒的鸟恨情仇【啊鱿讲故事】p2,电子竞技,1,28805,528,129,215,72,8,0,yo鱼,1715834,1.47E+09
